city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_type,last_new_job,training_hours,target
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,4,51,1
0.763,Male,No relevent experience,Full time course,High School,,3,,never,56,0
0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,Public Sector,never,55,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,Arts,12,Pvt Ltd,1,50,0
0.923,Male,Has relevent experience,no_enrollment,Masters,STEM,9,Pvt Ltd,4,170,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,1,36,0
0.92,Male,No relevent experience,no_enrollment,Primary School,,9,,never,67,1
0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,Pvt Ltd,1,71,0
0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,Pvt Ltd,>4,11,1
0.92,Male,No relevent experience,Full time course,Masters,STEM,10,,1,105,0
0.624,Male,No relevent experience,Full time course,High School,,2,,never,43,0
0.624,,Has relevent experience,Full time course,Masters,STEM,10,Pvt Ltd,2,4,0
0.624,Male,No relevent experience,no_enrollment,Masters,STEM,2,Pvt Ltd,1,144,1
0.92,,No relevent experience,,,,<1,,,43,0
0.887,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,,1,15,1
0.689,,Has relevent experience,Full time course,Graduate,STEM,6,Pvt Ltd,1,58,0
0.527,Female,No relevent experience,no_enrollment,Graduate,STEM,1,,1,50,0
0.92,Female,No relevent experience,no_enrollment,Masters,STEM,11,Public Sector,>4,50,0
0.92,,No relevent experience,Full time course,Graduate,STEM,3,Public Sector,1,23,0
0.895,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Pvt Ltd,2,43,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,Pvt Ltd,1,35,0
0.624,,Has relevent experience,no_enrollment,,,5,,4,50,1
0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,15,Pvt Ltd,1,6,0
0.725,Male,No relevent experience,no_enrollment,Masters,STEM,>20,Pvt Ltd,>4,106,0
0.91,Male,Has relevent experience,,Graduate,STEM,4,,1,90,1
0.91,Male,Has relevent experience,Full time course,Masters,STEM,3,NGO,1,12,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,,1,2,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,2,90,0
0.899,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,Funded Startup,>4,96,0
0.91,Male,No relevent experience,no_enrollment,High School,,5,,1,41,0
0.92,Male,No relevent experience,no_enrollment,Primary School,,7,Pvt Ltd,never,28,0
0.924,Male,Has relevent experience,no_enrollment,High School,,>20,Pvt Ltd,2,83,0
0.827,,Has relevent experience,no_enrollment,Graduate,STEM,9,Public Sector,2,6,0
0.624,Male,Has relevent experience,Full time course,Graduate,STEM,9,Pvt Ltd,>4,52,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,,3,21,1
0.624,,No relevent experience,,,,5,,never,45,1
0.92,Male,No relevent experience,no_enrollment,High School,,11,Pvt Ltd,3,104,0
0.83,Male,No relevent experience,Full time course,Primary School,,8,Pvt Ltd,never,10,0
0.767,,Has relevent experience,Part time course,Graduate,STEM,12,,never,94,0
0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,Pvt Ltd,1,7,1
0.74,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,Pvt Ltd,1,58,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,,1,56,0
0.878,,Has relevent experience,no_enrollment,High School,,<1,Pvt Ltd,1,29,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,,2,82,1
0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,Pvt Ltd,>4,107,0
0.754,Male,No relevent experience,Full time course,High School,,3,,never,65,0
0.924,Male,Has relevent experience,no_enrollment,High School,,>20,,>4,80,0
0.624,Female,Has relevent experience,Full time course,Masters,STEM,8,Pvt Ltd,2,69,1
0.92,,No relevent experience,no_enrollment,High School,,2,,,131,0
0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Pvt Ltd,>4,10,0
0.624,Male,No relevent experience,no_enrollment,Masters,STEM,2,Public Sector,1,75,1
0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,Pvt Ltd,>4,109,0
0.624,,Has relevent experience,,Graduate,STEM,2,Pvt Ltd,never,8,0
0.555,,Has relevent experience,Full time course,Graduate,STEM,2,,1,7,1
0.899,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,Early Stage Startup,1,15,0
0.895,Other,No relevent experience,Full time course,Masters,STEM,3,,2,105,0
0.624,,Has relevent experience,no_enrollment,Graduate,STEM,5,Pvt Ltd,4,62,0
0.926,Male,No relevent experience,Full time course,Graduate,STEM,6,Pvt Ltd,2,38,0
0.624,,No relevent experience,Full time course,Graduate,STEM,3,Pvt Ltd,never,106,1
0.55,Male,No relevent experience,Full time course,Graduate,STEM,5,,1,102,1
0.624,Male,No relevent experience,Full time course,High School,,2,,never,34,1
0.887,Female,Has relevent experience,no_enrollment,Graduate,STEM,12,Pvt Ltd,1,100,0
0.884,,Has relevent experience,no_enrollment,Masters,STEM,>20,Early Stage Startup,2,21,0
0.766,Male,No relevent experience,no_enrollment,Graduate,STEM,1,,never,19,1
0.856,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,Pvt Ltd,1,158,0
0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,6,Pvt Ltd,1,88,0
0.92,,Has relevent experience,no_enrollment,Graduate,STEM,9,Pvt Ltd,4,56,0
0.624,,No relevent experience,Full time course,High School,,7,,never,46,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,4,90,0
0.698,Male,Has relevent experience,no_enrollment,Graduate,Other,2,Pvt Ltd,1,23,0
0.682,,Has relevent experience,,Graduate,STEM,>20,Pvt Ltd,1,86,0
0.92,,Has relevent experience,no_enrollment,Masters,STEM,>20,,>4,20,0
0.804,Female,Has relevent experience,no_enrollment,Masters,STEM,10,Pvt Ltd,2,24,0
0.92,Male,No relevent experience,Full time course,High School,,1,,1,45,0
0.89,Male,No relevent experience,Full time course,Graduate,STEM,6,,1,17,0
0.939,Male,No relevent experience,Full time course,High School,,4,Pvt Ltd,never,40,0
0.804,,No relevent experience,Part time course,Graduate,STEM,1,,1,198,0
0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,4,Pvt Ltd,1,194,1
0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,3,,1,19,1
0.83,Male,Has relevent experience,no_enrollment,Masters,STEM,9,Pvt Ltd,1,66,0
0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,,4,16,0
0.92,Male,Has relevent experience,,Graduate,STEM,2,NGO,1,143,0
0.624,,Has relevent experience,Full time course,Graduate,STEM,3,Pvt Ltd,,102,1
0.92,Male,Has relevent experience,no_enrollment,,,20,Pvt Ltd,>4,20,0
0.698,,Has relevent experience,no_enrollment,Graduate,STEM,9,Pvt Ltd,2,72,0
0.624,Male,Has relevent experience,Full time course,Masters,STEM,11,Pvt Ltd,4,7,1
0.893,Male,Has relevent experience,Full time course,High School,,5,,2,36,1
0.689,Male,No relevent experience,Full time course,Graduate,STEM,2,,1,39,0
0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,1,Pvt Ltd,1,102,0
0.92,Male,No relevent experience,no_enrollment,Masters,STEM,>20,,>4,56,1
0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,4,204,0
0.92,Female,Has relevent experience,no_enrollment,Masters,Humanities,11,Public Sector,1,26,0
0.843,Male,Has relevent experience,no_enrollment,Masters,STEM,9,Pvt Ltd,3,86,0
0.91,,No relevent experience,no_enrollment,High School,,4,,never,150,0
0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,2,90,0
0.624,Male,Has relevent experience,Full time course,Graduate,STEM,5,Pvt Ltd,2,32,1
0.788,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,>4,155,0
0.68,Male,Has relevent experience,no_enrollment,Masters,STEM,12,Pvt Ltd,1,21,0
0.666,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,,1,29,0
0.855,Male,Has relevent experience,no_enrollment,Phd,STEM,12,,1,45,0
0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,>4,49,0
0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,5,,1,23,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,Pvt Ltd,2,17,0
0.92,,Has relevent experience,no_enrollment,Graduate,No Major,8,,1,58,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Pvt Ltd,>4,22,0
0.754,,Has relevent experience,no_enrollment,Graduate,STEM,15,Pvt Ltd,4,90,0
0.91,Male,Has relevent experience,Full time course,Graduate,Humanities,3,Pvt Ltd,1,164,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,1,27,0
0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,7,,never,27,1
0.92,Male,No relevent experience,Full time course,High School,,6,,1,73,0
0.92,Male,Has relevent experience,Part time course,Graduate,STEM,7,NGO,2,74,0
0.887,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,Pvt Ltd,>4,18,0
0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,>4,20,0
0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,Pvt Ltd,4,19,0
0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,9,Pvt Ltd,1,82,0
0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,14,Early Stage Startup,2,20,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,Pvt Ltd,4,50,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,NGO,2,20,0
0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,Funded Startup,1,87,0
0.624,,No relevent experience,no_enrollment,Graduate,STEM,5,Pvt Ltd,1,5,0
0.624,Male,Has relevent experience,Full time course,Graduate,STEM,13,Pvt Ltd,2,145,1
0.624,,Has relevent experience,Part time course,Graduate,STEM,5,,1,13,1
0.92,Male,Has relevent experience,Part time course,Phd,STEM,>20,Pvt Ltd,>4,52,0
0.92,Male,Has relevent experience,no_enrollment,High School,,12,Pvt Ltd,2,74,0
0.479,Male,No relevent experience,Full time course,Masters,Other,1,Other,,23,1
0.899,Male,Has relevent experience,no_enrollment,Masters,STEM,15,Pvt Ltd,3,18,0
0.926,,No relevent experience,no_enrollment,Masters,Arts,>20,Pvt Ltd,>4,68,0
0.92,,Has relevent experience,no_enrollment,Graduate,Humanities,5,Pvt Ltd,>4,224,0
0.624,,Has relevent experience,no_enrollment,Masters,STEM,12,,,19,0
0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,Pvt Ltd,2,22,0
0.926,Male,Has relevent experience,no_enrollment,,,14,Pvt Ltd,1,28,0
0.899,Female,Has relevent experience,no_enrollment,Masters,STEM,20,Pvt Ltd,>4,10,0
0.92,,Has relevent experience,no_enrollment,Phd,STEM,>20,Pvt Ltd,4,94,0
0.624,,No relevent experience,Full time course,High School,,2,,1,40,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,1,Pvt Ltd,1,28,0
0.682,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,Pvt Ltd,2,10,0
0.897,,Has relevent experience,no_enrollment,Masters,STEM,7,Pvt Ltd,1,278,0
0.92,,Has relevent experience,Full time course,High School,,9,,4,56,0
0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,1,43,0
0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,14,Pvt Ltd,4,60,0
0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,9,Pvt Ltd,>4,88,0
0.865,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,Funded Startup,1,140,0
0.754,Other,No relevent experience,no_enrollment,Graduate,STEM,<1,,never,7,0
0.698,Male,No relevent experience,no_enrollment,High School,,5,,never,50,0
0.691,Female,Has relevent experience,Full time course,Graduate,STEM,10,,1,64,0
0.92,Male,Has relevent experience,no_enrollment,High School,,>20,Pvt Ltd,>4,92,0
0.884,,Has relevent experience,Part time course,Masters,STEM,10,,3,7,0
0.89,Male,Has relevent experience,no_enrollment,High School,,16,Other,2,39,0
0.558,,Has relevent experience,no_enrollment,Graduate,STEM,5,Pvt Ltd,2,89,0
0.666,Male,Has relevent experience,no_enrollment,,,7,Pvt Ltd,1,122,0
0.939,,No relevent experience,no_enrollment,Graduate,STEM,10,Pvt Ltd,1,6,0
0.624,,Has relevent experience,no_enrollment,Graduate,STEM,7,Pvt Ltd,>4,29,1
0.855,Male,No relevent experience,no_enrollment,Masters,STEM,>20,Funded Startup,>4,78,0
0.91,Male,No relevent experience,no_enrollment,Masters,Humanities,3,Public Sector,1,148,0
0.939,Female,Has relevent experience,no_enrollment,Masters,STEM,10,Pvt Ltd,>4,48,0
0.698,Male,No relevent experience,Full time course,High School,,6,,never,33,0
0.91,Male,No relevent experience,no_enrollment,Primary School,,>20,,1,41,0
0.624,Male,Has relevent experience,Full time course,Graduate,STEM,6,Pvt Ltd,never,118,0
0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,>4,110,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,Pvt Ltd,2,39,0
0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,5,Pvt Ltd,1,198,0
0.698,Male,No relevent experience,no_enrollment,Primary School,,7,,never,85,0
0.92,,No relevent experience,Full time course,High School,,4,,3,75,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,Pvt Ltd,>4,24,0
0.91,Male,No relevent experience,no_enrollment,High School,,3,,1,35,0
0.624,,No relevent experience,Full time course,High School,,<1,,never,24,0
0.92,,No relevent experience,Full time course,Graduate,STEM,7,,,47,0
0.939,Male,No relevent experience,Full time course,Masters,STEM,10,Public Sector,2,61,0
0.949,Male,No relevent experience,Full time course,Graduate,STEM,1,Pvt Ltd,never,3,1
0.92,,No relevent experience,no_enrollment,Primary School,,2,,never,15,0
0.939,Female,No relevent experience,Full time course,High School,,6,,never,70,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,>4,55,0
0.698,Male,No relevent experience,Full time course,Graduate,STEM,2,,never,48,0
0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,19,,1,62,0
0.895,Male,Has relevent experience,Part time course,Graduate,STEM,12,Pvt Ltd,1,12,0
0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,Pvt Ltd,never,132,0
0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,3,Funded Startup,2,24,0
0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,>4,39,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,Pvt Ltd,4,108,0
0.754,Male,Has relevent experience,no_enrollment,High School,,4,,1,76,0
0.878,Male,No relevent experience,no_enrollment,Primary School,,2,,never,47,0
0.843,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,Pvt Ltd,1,28,0
0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,Pvt Ltd,1,9,0
0.55,Male,No relevent experience,Part time course,Graduate,STEM,3,Pvt Ltd,1,322,0
0.887,Male,No relevent experience,Part time course,Graduate,STEM,3,,1,158,0
0.887,Male,Has relevent experience,no_enrollment,Masters,STEM,2,Pvt Ltd,never,102,0
0.926,,Has relevent experience,no_enrollment,Graduate,STEM,6,Pvt Ltd,1,51,0
0.769,,Has relevent experience,Full time course,Graduate,STEM,5,,1,19,0
0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,5,Pvt Ltd,>4,67,0
0.762,Other,Has relevent experience,Part time course,High School,,3,Pvt Ltd,1,262,0
0.558,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,Pvt Ltd,1,204,0
0.878,Male,Has relevent experience,Part time course,High School,,5,Pvt Ltd,1,50,0
0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,,1,56,0
0.92,Male,Has relevent experience,no_enrollment,High School,,>20,Pvt Ltd,>4,21,1
0.926,Male,Has relevent experience,no_enrollment,Graduate,Humanities,6,,2,12,0
0.855,,No relevent experience,Full time course,High School,,2,Pvt Ltd,never,198,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,Pvt Ltd,1,74,0
0.624,,Has relevent experience,no_enrollment,Graduate,STEM,6,Public Sector,2,144,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,9,Pvt Ltd,2,75,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,Pvt Ltd,3,7,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,1,10,0
0.802,Male,Has relevent experience,Part time course,Graduate,STEM,6,Pvt Ltd,1,141,0
0.926,Male,No relevent experience,no_enrollment,Masters,STEM,19,Pvt Ltd,>4,44,0
0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,17,Pvt Ltd,>4,7,0
0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,Pvt Ltd,1,17,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,Pvt Ltd,1,25,0
0.92,,Has relevent experience,no_enrollment,Graduate,STEM,9,Pvt Ltd,1,135,0
0.92,Male,Has relevent experience,Part time course,Graduate,STEM,2,Pvt Ltd,2,4,0
0.897,Male,No relevent experience,no_enrollment,Masters,STEM,>20,,>4,58,0
0.698,,Has relevent experience,Part time course,Masters,STEM,6,,1,116,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,3,,1,28,1
0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,Pvt Ltd,3,112,1
0.884,Male,No relevent experience,Full time course,Graduate,STEM,4,,1,51,1
0.899,,Has relevent experience,no_enrollment,Graduate,STEM,8,Funded Startup,2,114,0
0.68,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,,1,64,1
0.92,Female,Has relevent experience,no_enrollment,Graduate,Other,2,Pvt Ltd,1,8,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,11,Pvt Ltd,2,82,0
0.924,Male,No relevent experience,no_enrollment,High School,,6,Pvt Ltd,never,20,0
0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,Pvt Ltd,1,55,0
0.924,Male,No relevent experience,no_enrollment,Masters,Arts,5,Pvt Ltd,2,116,0
0.804,Male,Has relevent experience,,Graduate,STEM,6,,1,6,0
0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,Funded Startup,1,328,0
0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,Pvt Ltd,3,47,0
0.893,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,Pvt Ltd,4,15,1
0.92,Male,Has relevent experience,Full time course,Graduate,STEM,11,,1,92,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,2,70,0
0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,10,Pvt Ltd,2,20,0
0.624,,Has relevent experience,no_enrollment,Graduate,STEM,5,Pvt Ltd,1,21,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,Pvt Ltd,>4,96,0
0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,Pvt Ltd,>4,72,1
0.91,,Has relevent experience,no_enrollment,Masters,STEM,12,Pvt Ltd,1,20,0
0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,>4,42,0
0.897,Male,No relevent experience,no_enrollment,Primary School,,4,,never,26,0
0.939,Male,Has relevent experience,no_enrollment,High School,,4,Public Sector,2,42,0
0.92,Male,Has relevent experience,no_enrollment,Primary School,,10,Pvt Ltd,1,14,0
0.624,Male,No relevent experience,Full time course,High School,,7,,never,4,0
0.92,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,Pvt Ltd,2,17,0
0.92,Male,No relevent experience,Full time course,High School,,11,,never,37,1
0.92,,No relevent experience,Full time course,Graduate,STEM,1,,,107,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,,2,31,1
0.794,Male,Has relevent experience,Part time course,Graduate,STEM,5,Pvt Ltd,1,41,0
0.55,Male,Has relevent experience,Part time course,Masters,STEM,7,Pvt Ltd,1,56,0
0.926,Male,No relevent experience,no_enrollment,Graduate,Humanities,14,,1,24,1
0.926,,No relevent experience,Full time course,Graduate,Arts,6,,1,25,0
0.92,Male,No relevent experience,no_enrollment,Masters,STEM,5,Funded Startup,3,194,0
0.776,Male,Has relevent experience,no_enrollment,Masters,STEM,6,Pvt Ltd,2,54,0
0.624,,No relevent experience,Part time course,Graduate,STEM,7,Pvt Ltd,4,84,1
0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,7,Pvt Ltd,2,80,0
0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,2,Pvt Ltd,1,15,0
0.92,Male,No relevent experience,Full time course,High School,,5,,1,106,1
0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Early Stage Startup,1,54,0
0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,1,Pvt Ltd,1,133,1
0.698,,No relevent experience,Part time course,Masters,STEM,<1,,2,108,1
0.558,,No relevent experience,Full time course,Graduate,STEM,2,Pvt Ltd,never,46,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,3,7,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,<1,Pvt Ltd,1,17,1
0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,Pvt Ltd,1,65,0
0.727,Female,Has relevent experience,Part time course,Graduate,STEM,7,Pvt Ltd,2,127,0
0.924,,No relevent experience,Full time course,Graduate,STEM,3,,1,26,0
0.624,,Has relevent experience,Full time course,Masters,STEM,6,,4,76,1
0.92,,No relevent experience,no_enrollment,Masters,STEM,3,NGO,1,220,0
0.579,,No relevent experience,,,,<1,,1,163,1
0.878,Male,Has relevent experience,no_enrollment,Graduate,No Major,8,Pvt Ltd,1,129,0
0.91,Other,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,>4,96,0
0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,,2,18,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Pvt Ltd,1,15,0
0.924,,No relevent experience,Part time course,Masters,STEM,10,,4,25,0
0.804,,No relevent experience,no_enrollment,Graduate,Humanities,4,,1,43,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,Funded Startup,1,29,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,Pvt Ltd,1,51,0
0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,>4,11,0
0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,>20,Pvt Ltd,>4,38,0
0.926,Female,Has relevent experience,no_enrollment,Graduate,Other,4,Pvt Ltd,1,57,0
0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,Pvt Ltd,1,32,0
0.899,Male,Has relevent experience,Part time course,High School,,7,Other,2,106,0
0.555,,No relevent experience,Part time course,Graduate,STEM,11,,>4,140,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,Pvt Ltd,2,90,0
0.624,Female,No relevent experience,Full time course,,,3,,1,78,0
0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,,>4,18,1
0.624,,Has relevent experience,no_enrollment,Graduate,STEM,<1,Pvt Ltd,1,74,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Funded Startup,1,50,0
0.926,,No relevent experience,Part time course,High School,,3,Early Stage Startup,2,134,0
0.91,Male,Has relevent experience,no_enrollment,High School,,14,,>4,34,0
0.91,,Has relevent experience,no_enrollment,Graduate,Arts,17,Pvt Ltd,1,23,0
0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,Pvt Ltd,1,82,0
0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,1,164,0
0.887,,Has relevent experience,no_enrollment,Graduate,STEM,1,Funded Startup,1,154,0
0.624,,No relevent experience,Part time course,Graduate,Other,5,Funded Startup,3,37,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,Early Stage Startup,never,102,0
0.624,Female,Has relevent experience,Full time course,Masters,STEM,<1,Pvt Ltd,1,54,1
0.624,,No relevent experience,no_enrollment,Graduate,Other,4,Public Sector,,152,1
0.91,Male,Has relevent experience,Full time course,Graduate,STEM,16,Pvt Ltd,1,53,0
0.926,Male,No relevent experience,Part time course,Masters,STEM,16,Public Sector,never,10,1
0.624,,No relevent experience,Full time course,Masters,STEM,<1,,1,15,0
0.624,Male,No relevent experience,no_enrollment,High School,,5,,never,51,1
0.92,,No relevent experience,Full time course,High School,,2,,2,110,0
0.624,,Has relevent experience,Full time course,Graduate,STEM,<1,Pvt Ltd,1,14,0
0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,14,Funded Startup,1,52,0
0.923,Male,No relevent experience,Full time course,High School,,2,,never,8,0
0.884,Male,No relevent experience,no_enrollment,Graduate,STEM,4,,never,9,1
0.91,,Has relevent experience,no_enrollment,Masters,STEM,10,Pvt Ltd,1,18,0
0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,15,Pvt Ltd,3,55,0
0.903,,Has relevent experience,no_enrollment,Graduate,Arts,17,,3,47,0
0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,7,Funded Startup,1,78,1
0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,16,Pvt Ltd,>4,143,0
0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,Pvt Ltd,>4,47,0
0.55,,Has relevent experience,no_enrollment,Graduate,STEM,5,Pvt Ltd,3,29,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,>4,29,1
0.624,,Has relevent experience,Full time course,Graduate,STEM,8,Pvt Ltd,1,6,1
0.624,Female,No relevent experience,Full time course,Graduate,STEM,4,,never,102,1
0.624,Male,No relevent experience,Full time course,Graduate,STEM,6,,1,34,1
0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Pvt Ltd,1,40,0
0.794,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,2,84,0
0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,3,Pvt Ltd,2,10,0
0.855,,No relevent experience,Part time course,High School,,2,,never,112,0
0.722,Male,No relevent experience,Full time course,Graduate,Humanities,6,,2,162,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,Pvt Ltd,>4,47,0
0.939,Female,Has relevent experience,no_enrollment,Graduate,STEM,2,Pvt Ltd,1,40,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,,1,63,0
0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,5,Funded Startup,1,7,0
0.448,,No relevent experience,Full time course,Graduate,STEM,2,,never,43,1
0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Pvt Ltd,1,86,0
0.518,,No relevent experience,Full time course,Phd,Other,>20,Pvt Ltd,>4,56,0
0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,5,Pvt Ltd,4,60,1
0.92,Male,No relevent experience,no_enrollment,Primary School,,6,,never,56,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,Pvt Ltd,1,13,1
0.92,,Has relevent experience,no_enrollment,Graduate,STEM,7,Public Sector,,11,0
